iter	Passed	Remaining
272	463	1234
273	464	1230
274	465	1225
275	465	1221
276	466	1217
277	467	1213
278	468	1209
279	468	1205
280	469	1201
281	470	1197
282	471	1193
283	471	1189
284	472	1185
285	473	1181
286	474	1177
287	474	1174
288	475	1170
289	476	1167
290	477	1164
291	478	1160
292	479	1157
293	480	1153
294	481	1150
295	482	1146
296	482	1143
297	483	1139
298	484	1135
299	485	1132
300	485	1128
301	486	1125
302	487	1121
303	488	1117
304	488	1114
305	489	1110
306	490	1107
307	492	1105
308	493	1102
309	493	1099
310	494	1095
311	495	1092
312	496	1089
313	497	1086
314	498	1083
315	499	1080
316	499	1077
317	500	1073
318	501	1070
319	502	1068
320	503	1064
321	504	1061
322	505	1058
323	506	1057
324	507	1054
325	508	1051
326	509	1048
327	510	1046
328	511	1043
329	512	1040
330	513	1036
331	513	1033
332	514	1030
333	515	1027
334	516	1024
335	517	1021
336	517	1018
337	518	1016
338	519	1013
339	521	1012
340	522	1010
341	523	1007
342	524	1004
343	525	1001
344	525	998
345	526	995
346	527	992
347	528	989
348	528	986
349	529	983
350	530	980
351	531	977
352	531	974
353	532	971
354	533	968
355	534	966
356	534	963
357	536	962
358	537	959
359	538	956
360	539	954
361	539	951
362	540	948
363	541	946
364	542	943
365	543	940
366	543	938
367	544	935
368	545	932
369	546	930
370	546	927
371	547	924
372	548	922
373	549	919
374	551	919
375	552	917
376	553	914
377	554	912
378	555	909
379	556	907
380	557	904
381	557	902
382	558	899
383	559	897
384	560	894
385	560	892
386	561	889
387	562	887
388	563	884
389	563	881
390	567	883
391	572	887
392	573	885
393	574	883
394	575	880
395	576	879
396	577	877
397	578	874
398	579	872
399	581	872
400	582	870
401	583	867
402	584	865
403	584	862
404	585	860
405	586	858
406	587	855
407	588	853
408	588	850
409	589	848
410	590	846
411	591	843
412	591	841
413	592	838
414	593	836
415	594	834
416	595	832
417	597	831
418	597	828
419	598	826
420	599	824
421	600	822
422	601	820
423	602	818
424	603	816
425	604	813
426	604	811
427	605	809
428	606	806
429	607	804
430	607	802
431	608	800
432	610	798
433	611	797
434	612	795
435	612	792
436	613	790
437	614	788
438	615	786
439	616	784
440	616	781
441	617	779
442	618	777
443	619	775
444	619	773
445	620	770
446	621	768
447	622	766
448	622	764
449	624	763
450	625	761
451	626	759
452	627	757
453	628	755
454	629	753
455	630	751
456	631	749
457	631	747
458	632	745
459	633	743
460	634	741
461	634	739
462	635	737
463	636	735
464	637	733
465	637	731
466	640	731
467	641	729
468	642	727
469	643	725
470	643	723
471	644	720
472	645	718
473	645	716
474	646	714
475	647	712
476	648	710
477	648	708
478	649	706
479	650	704
480	651	702
481	652	700
482	652	698
483	655	698
484	655	696
485	656	694
486	657	692
487	658	690
488	658	688
489	659	686
490	660	684
491	661	682
492	661	680
493	662	678
494	663	676
495	664	674
496	665	673
497	665	671
498	666	669
499	667	667
500	669	666
501	670	665
502	671	663
503	672	661
504	673	659
505	674	658
506	674	656
507	675	654
508	676	652
509	677	650
510	678	648
511	678	647
512	679	645
513	680	643
514	681	641
515	682	639
516	683	638
517	684	637
518	685	635
519	686	633
520	687	631
521	687	629
522	688	627
523	689	626
524	690	624
525	690	622
526	691	620
527	692	618
528	693	617
529	693	615
530	694	613
531	695	611
532	696	610
533	698	609
534	699	607
535	699	605
536	700	604
537	701	602
538	702	600
539	702	598
540	703	597
541	704	595
542	705	593
543	706	591
544	706	590
545	707	588
546	708	586
547	709	585
548	710	583
549	710	581
550	711	580
551	713	579
552	714	577
553	715	575
554	716	574
555	716	572
556	717	570
557	718	569
558	719	567
559	719	565
560	720	564
561	721	562
562	722	560
563	723	558
564	723	557
565	724	555
566	725	553
567	726	552
568	727	551
569	728	549
570	729	547
571	729	546
572	730	544
573	731	542
574	732	541
575	733	539
576	733	537
577	734	536
578	735	534
579	736	533
580	736	531
581	737	529
582	738	528
583	739	526
584	740	525
585	740	523
586	742	522
587	743	520
588	743	519
589	744	517
590	745	516
591	746	514
592	747	512
593	748	511
594	748	509
595	749	508
596	750	506
597	751	505
598	752	503
599	753	502
600	753	500
601	754	498
602	755	497
603	756	496
604	757	494
605	758	492
606	758	491
607	759	489
608	760	488
609	761	486
610	761	485
611	762	483
612	763	482
613	764	480
614	765	478
615	765	477
616	766	475
617	767	474
618	768	472
619	769	471
620	769	469
621	771	468
622	772	467
623	773	465
624	773	464
625	774	462
626	775	461
627	776	459
628	776	458
629	777	456
630	778	455
631	779	453
632	779	452
633	780	450
634	781	449
635	782	447
636	782	446
637	783	444
638	784	443
639	785	441
640	786	440
641	787	439
642	788	437
643	789	436
644	789	434
645	790	433
646	791	431
647	792	430
648	793	429
649	794	427
650	794	426
651	795	424
652	796	423
653	797	421
654	797	420
655	798	418
656	799	417
657	800	416
658	801	414
659	802	413
660	803	412
661	804	410
662	805	409
663	806	408
664	807	406
665	808	405
666	808	403
667	809	402
668	810	400
669	811	399
670	811	398
671	812	396
672	813	395
673	814	393
674	815	392
675	816	391
676	817	390
677	818	388
678	819	387
679	819	385
680	820	384
681	821	382
682	822	381
683	822	380
684	823	378
685	824	377
686	825	376
687	826	374
688	827	373
689	827	371
690	828	370
691	830	369
692	831	368
693	831	366
694	832	365
695	833	364
696	834	362
697	835	361
698	835	359
699	836	358
700	837	357
701	838	355
702	839	354
703	839	353
704	840	351
705	841	350
706	842	348
707	842	347
708	843	346
709	845	345
710	846	343
711	847	342
712	848	341
713	849	340
714	850	338
715	850	337
716	851	336
717	852	334
718	853	333
719	853	332
720	854	330
721	855	329
722	856	328
723	857	326
724	857	325
725	858	324
726	860	323
727	861	321
728	862	320
729	863	319
730	864	318
731	865	316
732	866	315
733	867	314
734	868	313
735	868	311
736	869	310
737	870	309
738	871	307
739	872	306
740	872	305
741	874	304
742	875	302
743	876	301
744	877	300
745	878	299
746	879	297
747	880	296
748	881	295
749	882	294
750	883	292
751	884	291
752	885	290
753	885	289
754	886	287
755	887	286
756	891	286
757	892	285
758	894	283
759	895	282
760	896	281
761	897	280
762	898	279
763	899	277
764	900	276
765	901	275
766	902	274
767	906	273
768	909	273
769	910	271
770	911	270
771	912	269
772	912	268
773	913	266
774	914	265
775	915	264
776	916	263
777	917	261
778	922	261
779	923	260
780	924	259
781	925	258
782	926	256
783	927	255
784	929	254
785	930	253
786	931	252
787	931	250
788	936	250
789	938	249
790	939	248
791	940	246
792	941	245
793	942	244
794	942	243
795	944	242
796	945	240
797	946	239
798	947	238
799	952	238
800	954	237
801	954	235
802	955	234
803	956	233
804	957	231
805	958	230
806	959	229
807	960	228
808	961	227
809	967	226
810	969	225
811	971	224
812	973	223
813	974	222
814	985	223
815	987	222
816	989	221
817	991	220
818	997	220
819	1000	219
820	1002	218
821	1003	217
822	1005	216
823	1006	214
824	1014	215
825	1016	214
826	1018	213
827	1020	211
828	1021	210
829	1032	211
830	1034	210
831	1036	209
832	1044	209
833	1050	208
834	1053	208
835	1061	208
836	1063	207
837	1065	205
838	1066	204
839	1068	203
840	1077	203
841	1079	202
842	1080	201
843	1082	200
844	1084	198
845	1094	199
846	1095	197
847	1097	196
848	1099	195
849	1103	194
850	1109	194
851	1111	193
852	1113	191
853	1114	190
854	1115	189
855	1124	189
856	1126	187
857	1135	188
858	1141	187
859	1144	186
860	1146	185
861	1147	183
862	1154	183
863	1156	181
864	1157	180
865	1158	179
866	1159	177
867	1160	176
868	1161	175
869	1167	174
870	1169	173
871	1170	171
872	1171	170
873	1173	169
874	1174	167
875	1175	166
876	1176	165
877	1182	164
878	1183	162
879	1185	161
880	1187	160
881	1189	159
882	1190	157
883	1191	156
884	1194	155
885	1196	153
886	1197	152
887	1199	151
888	1200	149
889	1201	148
890	1203	147
891	1203	145
892	1205	144
893	1205	142
894	1206	141
895	1210	140
896	1211	139
897	1212	137
898	1213	136
899	1214	134
900	1215	133
901	1216	132
902	1217	130
903	1218	129
904	1219	127
905	1220	126
906	1221	125
907	1222	123
908	1224	122
909	1225	121
910	1227	119
911	1228	118
912	1229	117
913	1230	115
914	1230	114
915	1231	112
916	1232	111
917	1233	110
918	1234	108
919	1235	107
920	1236	106
921	1238	104
922	1239	103
923	1240	102
924	1241	100
925	1242	99
926	1243	97
927	1244	96
928	1245	95
929	1246	93
930	1247	92
931	1248	91
932	1250	89
933	1251	88
934	1252	87
935	1254	85
936	1255	84
937	1256	83
938	1257	81
939	1258	80
940	1259	78
941	1260	77
942	1261	76
943	1261	74
944	1262	73
945	1263	72
946	1264	70
947	1266	69
948	1267	68
949	1268	66
950	1269	65
951	1271	64
952	1272	62
953	1273	61
954	1275	60
955	1276	58
956	1277	57
957	1278	56
958	1279	54
959	1280	53
960	1280	51
961	1281	50
962	1284	49
963	1285	48
964	1286	46
965	1288	45
966	1289	43
967	1290	42
968	1291	41
969	1292	39
970	1293	38
971	1295	37
972	1295	35
973	1297	34
974	1299	33
975	1300	31
976	1301	30
977	1302	29
978	1303	27
979	1304	26
980	1305	25
981	1307	23
982	1308	22
983	1309	21
984	1310	19
985	1315	18
986	1316	17
987	1318	16
988	1319	14
989	1320	13
990	1321	12
991	1322	10
992	1324	9
993	1325	8
994	1332	6
995	1334	5
996	1336	4
997	1337	2
998	1338	1
999	1339	0
